uri,scols,srows,wcols,wrows,coff,roff,aa,eye,windowDistance,vx,vy,vz,windowHeight,shapeCount,rows,windowWidth,cols,lightCount,nmethods,opTime,nblocks,ninsts,ts,bodySize,duration
/raytracer,400,300,900,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:45.060478925Z,1385,1766277970
/raytracer,400,300,100,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:45.175489044Z,1397,24526714
/raytracer,400,300,100,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:45.317776388Z,1389,67764060
/raytracer,400,300,100,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:45.488041401Z,1394,107991012
/raytracer,400,300,100,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:45.697390195Z,1391,148789621
/raytracer,400,300,100,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:45.952057763Z,1402,191240477
/raytracer,400,300,300,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:46.091820393Z,1395,65385804
/raytracer,400,300,300,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:46.347066877Z,1396,194655323
/raytracer,400,300,300,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:46.740532696Z,1387,332323187
/raytracer,400,300,300,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:47.260882722Z,1401,447099052
/raytracer,400,300,300,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:47.900911372Z,1405,574572236
/raytracer,400,300,500,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:48.077145136Z,1388,108979202
/raytracer,400,300,500,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:48.459506232Z,1402,321366879
/raytracer,400,300,500,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:49.056816455Z,1401,530491125
/raytracer,400,300,500,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:49.878572964Z,1397,757452976
/raytracer,400,300,500,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:50.948015770Z,1389,995701195
/raytracer,400,300,700,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:51.165076420Z,1384,149163266
/raytracer,400,300,700,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:51.691682928Z,1384,459368152
/raytracer,400,300,700,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:52.499492837Z,1398,746416757
/raytracer,400,300,700,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:53.636600915Z,1394,1069019887
/raytracer,400,300,700,900,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:55.100045020Z,1387,1394552732
/raytracer,400,300,900,100,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:55.378963679Z,1398,203761917
/raytracer,400,300,900,300,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:56.008244389Z,1402,564927662
/raytracer,400,300,900,500,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:57.033662745Z,1396,949409683
/raytracer,400,300,900,700,0,0,false,[0.0 30.0 -200.0],1.0,(-0.9999999999999999 0.0 0.0),(0.0 0.9805806756909201 0.19611613513818402),(-0.0 0.19611613513818404 -0.9805806756909202),0.6840402866513374,5,300.0,0.8975983604009242,400.0,3,0,0,0,0,2024-05-30T22:19:58.443129461Z,1390,1336780630
